,place,lat,lon
0,Bellaria,44.8763658,10.9841521
1,Bevano,43.8277753,12.9401047
2,Casal Borsetti,missing,missing
3,Cattolica,43.9639933,12.7441515
4,Cervia,44.2609836,12.3495462
5,Cesenatico,44.1999283,12.3969692
6,Gatteo a mare,44.1721701,12.4371677
7,Goro,44.850883,12.294927
8,Igea Marina,44.1332829,12.4818059
9,Lido Adriano,44.4122541,12.3085978
10,Lido degli Estensi,44.6692798,12.2433254
11,Lido degli Scacchi,44.7079683,12.2387502
12,Lido delle Nazioni,44.7426066,12.2412215
13,Lido di Classe,44.3261463,12.3365448
14,Lido di Dante,44.3864965,12.3158364
15,Lido di Pomposa,44.7164138,12.2385379
16,Lido di Savio,44.3101326,12.3430734
17,Lido di Spina,44.6507249,12.2476762
18,Lido di Volano,44.7984338,12.2617826
19,Marina di Ravenna,44.4851718,12.2788139
20,Marina Romea,44.5139861,12.2729458
21,Milano Marittima,44.2774759,12.3481763
22,Misano Marina,43.971165,12.7180142
23,Porto Corsini,44.4937638,12.2769112
24,Porto Garibaldi,44.6784293,12.2398703
25,Punta Marina,44.0844042,8.0289997
26,Riccione Marina,44.01439085,12.642277274861977
27,Rimini,43.9470982,12.630768610516004
28,San Mauro a Mare,44.1631101,12.4466459
29,Savignano Mare,44.0952023,12.4042417
