,CATUE,ATTECONOM,CATIT,CATDIST,DANNO,CODCOM,AMBITOTER1,CODSCEN1,AMBITOTER2,CODSCEN2,AMBITOTER3,CODSCEN3,AMBITOTER4,CODSCEN4,CODAREA1,CODAREA2,CODAREA3,CODAREA4,RIS1,RIS2,RIS3,RIS4,RISMAX
0,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,,,ITR081_110104000000_P2_RP_488,,,,R3,,,,R3
1,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_784,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
2,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
3,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_826,,,ITR081_ _P2_RSP_37,R3,,,R2,R3
4,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti individuati nell'allegato I del D.L. 59/2005,D4,,RP,M,,,,,,,ITR081_9999_P2_RP_827,,,,R3,,,,R3
5,AMBIENTE,B46,insediamenti produttivi o impianti tecnologici potenzialemente pericolosi dal punto di vista ambientale,impianti RIR,D4,,RP,M,,,,,RSP,H,ITR081_9999_P2_RP_823,,,ITR081_ _P3_RSP_118,R3,,,R3,R3
6,attivita economiche e sociali,B42,infrastrutture strategiche,dighe,D4,,RP,H,,,,,,,ITR081_9999_P3_RP_1356,,,,R4,,,,R4
7,attivita economiche e sociali,B42,infrastrutture strategiche,dighe,D4,,RP,H,,,,,,,ITR081_130000000000_P3_RP_1274,,,,R4,,,,R4
8,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,,,ITR081_9999_P2_RP_785,,,,R3,,,,R3
9,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,,,ITR081_9999_P2_RP_820,,,,R3,,,,R3
10,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,RSP,M,ITR081_9999_P2_RP_801,,,ITR081_ _P2_RSP_27,R3,,,R2,R3
11,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,M,,,,,,,ITR081_130000000000_P2_RP_611,,,,R3,,,,R3
12,attivita economiche e sociali,B42,strutture strategiche e sedi di attivita collettive,scuole,D4,,RP,H,,,,,RSP,M,ITR081_9999_P3_RP_1298,,,ITR081_ _P2_RSP_37,R4,,,R2,R4
