,GISID,TIPO,COMUNE,DATA,SCHEDA,MONITORAGG
0,54.0,pozzi con presenza di acqua calda,MEDOLLA,Ottobre 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID54_OTTOBRE_2015_CARLINO_231015.pdf,
1,54.0,pozzi con presenza di acqua calda,MEDOLLA,Ottobre 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID54_OTTOBRE_2015_GAZZETTA_MO_211015.pdf,
2,54.0,pozzi con presenza di acqua calda,MEDOLLA,Ottobre 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID54_OTTOBRE_2015_GAZZETTA_MO_221015.pdf,
3,54.0,pozzi con presenza di acqua calda,MEDOLLA,Ottobre 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_[/ID54_OTTOBRE_2015_GAZZETTA_MO_231015.pdf,
4,56.0,,MIRANDOLA,Novembre 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID56_NOVEMBRE_2015.pdf,
5,62.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,MIRANDOLA,Settembre 2016,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID62_SETTEMBRE_2016.pdf,
6,62.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,MIRANDOLA,Settembre 2016,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID62_SETTEMBRE_2016_SGSS.pdf,
7,69.0,pozzi con presenza di acqua calda,MIRANDOLA,Agosto 2016,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID69_AGOSTO_2016.pdf,
8,10.0,presenza di fratture e/o di sprofondamenti nel terreno,MIRANDOLA,Agosto 2012,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID10_AGOSTO_2012.pdf,
9,33.0,presenza di fratture e/o di sprofondamenti nel terreno,MIRANDOLA,Maggio 2012,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID33_MAGGIO_2012.pdf,
10,89.0,vulcanetti di fango e/o sabbia,MIRANDOLA,Marzo 2018,,
11,99.0,pozzi con presenza di acqua calda,MIRANDOLA,Dicembre 2018,,
12,55.0,pozzi con presenza di acqua calda,NOVI DI MODENA,Ottobre 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID55_OTTOBRE_2015.pdf,
13,58.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,NOVI DI MODENA,Marzo 2016,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID58_MARZO_2016.pdf,
14,75.0,pozzi con presenza di acqua calda,NOVI DI MODENA,Febbraio 2017,,
15,48.0,fuoriuscite di gas da pozzi per acqua e/o dal terreno,NOVI DI MODENA,Marzo 2015,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID48_MARZO_2015.pdf,
16,77.0,presenza di fratture e/o di sprofondamenti nel terreno,RAVARINO,Settembre 2017,,
17,23.0,pozzi con presenza di acqua calda,SAN FELICE SUL PANARO,Settembre 2012,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID23_SETTEMBRE_2012.pdf,
18,30.0,pozzi con presenza di acqua calda,SAN FELICE SUL PANARO,Ottobre 2013,https://geo.regione.emilia-romagna.it/gstatico/documenti/Segnalaz_Fenomeni_Terremoto/ID30_OTTOBRE_2013.pdf,
19,92.0,,SAN FELICE SUL PANARO,Giugno 2018,,
20,96.0,pozzi con presenza di acqua calda,SAN FELICE SUL PANARO,Ottobre 2018,,
