OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 0.553181398678)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 0.0108078945568)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 1.84840714233)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 0.31520420428)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 0.607223862806)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 1.04375891093)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 0.00323751097351)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 0.0327428007262)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 0.0107164972821)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 0.0201222252577)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 0.04282578422)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001098033'), ('NOMEIDRO', 'Toce'), ('DATAAPP', ''), ('AREA_KMQ', 1.01397799896)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001079'), ('NOMEIDRO', 'Rotaldo'), ('DATAAPP', ''), ('AREA_KMQ', 0.507889806613)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001042'), ('NOMEIDRO', 'Grana'), ('DATAAPP', ''), ('AREA_KMQ', 0.229926474621)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001042'), ('NOMEIDRO', 'Grana'), ('DATAAPP', ''), ('AREA_KMQ', 0.209411704738)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001042'), ('NOMEIDRO', 'Grana'), ('DATAAPP', ''), ('AREA_KMQ', 0.66081935146)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001042'), ('NOMEIDRO', 'Grana'), ('DATAAPP', ''), ('AREA_KMQ', 3.94334943094)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001052'), ('NOMEIDRO', 'Malone'), ('DATAAPP', ''), ('AREA_KMQ', 0.0210505321153)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001052'), ('NOMEIDRO', 'Malone'), ('DATAAPP', ''), ('AREA_KMQ', 0.0068039660432)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001052'), ('NOMEIDRO', 'Malone'), ('DATAAPP', ''), ('AREA_KMQ', 0.0309197384751)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001052'), ('NOMEIDRO', 'Malone'), ('DATAAPP', ''), ('AREA_KMQ', 0.722321628901)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001052'), ('NOMEIDRO', 'Malone'), ('DATAAPP', ''), ('AREA_KMQ', 0.00744855183952)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.28458546141)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.173923306235)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.153617590153)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.616171273694)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.0662203121833)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.0433235701181)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.0838180434318)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.0631377999201)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 0.56775425925)])
OrderedDict([('ID', '0'), ('TIPOAREA', 'area inondabile'), ('CODIDRO', '001033'), ('NOMEIDRO', 'Dora Riparia'), ('DATAAPP', ''), ('AREA_KMQ', 1.09691786824)])
