,prov_name,prov_code,municipality,latitude,longitude,area (kmq),high_hydraulic_risk_area_p3 (%),medium_hydraulic_risk_area_p2 (%),low_hydraulic_risk_area_p1 (%),very_high_landslide_risk_area_p4 (%),high_landslide_risk_area_p3 (%),medium_landslide_risk_area_p2 (%),low_landslide_risk_area_p1 (%),attention_area (%),resident_population (n),high_hydraulic_risk_population_p3 (%),medium_hydraulic_risk_population_p2 (%),low_hydraulic_risk_population_p1 (%),very_high_landslide_risk_population_p4 (%),high_landslide_risk_population_p3 (%),medium_landslide_risk_population_p2 (%),low_landslide_risk_population_p1 (%),attention_population (%),resident_family (n),high_hydraulic_risk_family_p3 (%),medium_hydraulic_risk_family_p2 (%),low_hydraulic_risk_family_p1 (%),very_high_landslide_risk_family_p4 (%),high_landslide_risk_family_p3 (%),medium_landslide_risk_family_p2 (%),low_landslide_risk_family_p1 (%),attention_family (%),building (n),high_hydraulic_risk_building_p3 (%),medium_hydraulic_risk_building_p2 (%),low_hydraulic_risk_building_p1 (%),very_high_landslide_risk_building_p4 (%),high_landslide_risk_building_p3 (%),medium_landslide_risk_building_p2 (%),low_landslide_risk_building_p1 (%),attention_building (%),enterprise (n),high_hydraulic_risk_enterprise_p3 (%),medium_hydraulic_risk_enterprise_p2 (%),low_hydraulic_risk_enterprise_p1 (%),very_high_landslide_risk_enterprise_p4 (%),high_landslide_risk_enterprise_p3 (%),medium_landslide_risk_enterprise_p2 (%),low_landslide_risk_enterprise_p1 (%),attention_enterprise (%),cultural_heritage (n),high_hydraulic_risk_cultural_heritage_p3 (%),medium_hydraulic_risk_cultural_heritage_p2 (%),low_hydraulic_risk_cultural_heritage_p1 (%),very_high_landslide_risk_cultural_heritage_p4 (%),high_landslide_risk_cultural_heritage_p3 (%),medium_landslide_risk_cultural_heritage_p2 (%),low_landslide_risk_cultural_heritage_p1 (%),attention_cultural_heritage (%)
0,Rimini,RN,Cattolica,43.96376667,12.74464322,6.195,6.344,31.929,48.894,0.0,0.0,0.0,0.0,0.0,16550,2.079,33.994,33.994,0.0,0.0,0.0,0.0,0.0,7318,2.104,34.299,50.273,0.0,0.0,0.0,0.0,0.0,3845,2.263,34.746,52.042,0.0,0.0,0.0,0.0,0.0,2593,3.201,43.039,62.977,0.0,0.0,0.0,0.0,0.0,41,0.0,68.293,75.61,0.0,0.0,0.0,0.0,0.0
1,Ferrara,FE,Riva del Po,null,null,111.822,27.899,99.948,99.949,0.0,0.0,0.0,0.0,0.0,8508,3.35,100.0,100.0,0.0,0.0,0.0,0.0,0.0,3740,3.075,100.0,100.0,0.0,0.0,0.0,0.0,0.0,3492,3.58,100.0,100.0,0.0,0.0,0.0,0.0,0.0,450,3.333,100.0,100.0,0.0,0.0,0.0,0.0,0.0,92,4.348,100.0,100.0,0.0,0.0,0.0,0.0,0.0
2,Rimini,RN,Saludecio,43.87266832,12.66880924,34.265,0.0,0.0,0.0,2.236,13.909,0.0,0.0,0.0,3028,0.0,0.0,0.0,0.76,7.067,0.0,0.0,0.0,1238,0.0,0.0,0.0,0.808,7.189,0.0,0.0,0.0,1141,0.0,0.0,0.0,1.227,8.414,0.0,0.0,0.0,214,0.0,0.0,0.0,0.935,7.477,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,1.923,0.0,0.0,0.0
3,Rimini,RN,San Giovanni in Marignano,43.93898654,12.71245963,21.373,4.407,9.535,14.486,0.473,1.595,0.0,0.0,0.0,8973,4.112,6.765,6.765,0.056,0.178,0.0,0.0,0.0,3556,4.19,6.918,28.965,0.056,0.169,0.0,0.0,0.0,2307,3.901,6.849,24.794,0.087,0.303,0.0,0.0,0.0,999,3.904,7.207,31.131,0.0,0.1,0.0,0.0,0.0,31,6.452,6.452,67.742,0.0,0.0,0.0,0.0,0.0
4,Reggio Emilia,RE,Baiso,44.49525048,10.59879329,75.553,2.254,2.634,3.333,22.444,11.298,0.369,0.0,0.0,3403,1.205,1.352,1.352,10.873,14.193,15.633,0.0,0.0,1411,1.205,1.347,3.118,10.347,14.316,15.592,0.0,0.0,1249,1.281,1.441,2.882,11.93,13.531,11.609,0.0,0.0,236,1.695,1.695,2.542,13.136,13.136,19.492,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,28.571,0.0,0.0
5,Reggio Emilia,RE,Bibbiano,44.66326108,10.47336979,28.162,0.036,100.046,100.046,0.0,0.0,0.0,0.0,0.0,9965,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,3951,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,2549,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,861,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,20,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0
6,Rimini,RN,San Leo,43.89617961,12.34328015,53.136,5.098,5.51,6.066,29.155,12.031,0.0,0.0,0.0,2970,1.414,1.515,1.515,9.798,4.276,0.0,0.0,0.0,1224,1.471,1.552,1.797,10.212,4.493,0.0,0.0,0.0,1030,1.845,1.942,2.233,13.592,6.214,0.0,0.0,0.0,240,1.25,1.25,1.25,11.25,7.5,0.0,0.0,0.0,27,7.407,7.407,7.407,11.111,25.926,0.0,0.0,0.0
7,Rimini,RN,Poggio Torriana,43.985,12.3868,34.735,7.736,9.273,10.687,15.359,7.929,0.213,0.0,0.0,4960,1.351,2.016,2.016,2.117,4.274,2.419,0.0,0.0,1894,1.32,2.006,2.746,2.27,4.699,2.746,0.0,0.0,1603,1.747,2.62,3.556,2.433,4.741,2.183,0.0,0.0,441,1.814,2.268,2.721,2.268,3.855,2.041,0.0,0.0,43,0.0,0.0,4.651,9.302,16.279,4.651,0.0,0.0
8,Modena,MO,Ravarino,44.72446933,11.09999795,28.53,24.711,99.86,100.014,0.0,0.0,0.0,0.0,0.0,6165,47.656,99.984,99.984,0.0,0.0,0.0,0.0,0.0,2480,48.427,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1231,37.449,100.0,100.0,0.0,0.0,0.0,0.0,0.0,286,43.357,100.0,100.0,0.0,0.0,0.0,0.0,0.0,21,71.429,119.048,119.048,0.0,0.0,0.0,0.0,0.0
9,Bologna,BO,Dozza,44.3594388,11.62867786,24.232,6.628,54.927,54.927,0.0,0.0,0.0,0.0,0.318,6440,3.23,35.264,35.264,0.0,0.0,0.0,0.0,0.047,2737,3.179,35.733,35.733,0.0,0.0,0.0,0.0,0.037,1018,3.143,36.935,36.935,0.0,0.0,0.0,0.0,0.098,543,2.21,47.514,47.514,0.0,0.0,0.0,0.0,0.0,24,12.5,16.667,16.667,0.0,0.0,0.0,0.0,0.0
