,ANNO,ID_OPERA,PROGR,TIPO_OPERA,STATO,MATERIALE,MACR,COMUNE,ORIENTAZIO,NOTE,H_MED_MSL,H_MIN_MSL,H_MAX_MSL,L_OPERA_M,AMP_BASE,AMP_VARCO,D_RIVA_M,FONT_DRIVA,ANNO_COSTR,ENTE_COSTR,INTERVENTO,NOTE_INT,ANNO_INT,ENTE_INT,ESO_M,VOLO,SHAPE_AREA,SHAPE_LEN
0,2020.0,188.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,4.0,RAVENNA,NNO-SSE,,-1.20259261,-4.05999994,0.80000001,100.0,,20,100.0,Linea 2019,,,manutenzione,ricalibrate 2019,0,,G23,Volo Costa 2019 AdbPo,662.2380543,214.829326502
1,2020.0,189.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,4.0,RAVENNA,NNO-SSE,,-1.10714293,-2.63000011,0.50999999,100.0,,-,130.0,Linea 2019,,,manutenzione,ricalibrate 2019,0,,G23,Volo Costa 2019 AdbPo,641.7274056,218.556118867
2,2020.0,190.0,1.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,4.0,RAVENNA,NNO-SSE,,-3.28305078,-4.38999987,-2.36999989,170.0,,-,180.0,Linea 2019,,,manutenzione,ricalibrate 2019,0,,G24,Volo Costa 2019 AdbPo,781.21844175,184.18890898
3,2020.0,191.0,0.0,Difesa trasversale,emersa,MASSI CALCAREI,4.0,RAVENNA,ENE-OSO,,0.52570271,-1.24000001,2.0,85.0,,-,0.0,Linea 2019,,,nessuno,,0,,G24,Volo Costa 2019 AdbPo,987.980725245,177.612143377
4,2020.0,192.0,0.0,Difesa trasversale,emersa,MASSI CALCAREI,4.0,RAVENNA,ENE-OSO,,0.68171877,-0.46000001,2.7750001,85.0,,-,0.0,Linea 2019,,,nessuno,,0,,G24,Volo Costa 2019 AdbPo,793.23031527,176.941920277
5,2020.0,193.0,0.0,Difesa trasversale,emersa,MASSI CALCAREI,4.0,RAVENNA,E-O,,0.93425,-0.2,2.03999996,80.0,,-,0.0,Linea 2019,,,nessuno,,0,,G25,Volo Costa 2019 AdbPo,814.25288557,174.039671195
6,2020.0,194.0,0.0,Difesa mista soffolta,soffolta,MASSI CALCAREI,4.0,RAVENNA,E-O,,-0.47735295,-2.3499999,0.09,130.0,,-,0.0,Linea 2019,,,manutenzione,RICARICA CON MASSI CALCAREI,2014,REGIONE,G25,Volo Costa 2019 AdbPo,826.5916028,278.413511038
7,2020.0,195.0,1.0,Difesa mista soffolta,soffolta,MASSI CALCAREI,4.0,RAVENNA,N-S,,-4.0,-3.8,-3.5,460.0,,-,200.0,Linea 2019,,,ampliamento,ALLUNGAMENTO DELLA sogliera esistente,2020,COMUNE RAVENNA,G25,Volo Costa 2019 AdbPo,6962.4041569,977.027991701
8,2020.0,196.0,0.0,Difesa mista soffolta,soffolta,MASSI CALCAREI,4.0,RAVENNA,N-S,SOGLIA SOFFOLTA TRA DUE SCOGLIERE ADIACENTI,-2.38666677,-3.16000009,-0.01,25.0,,-,0.0,Linea 2019,,,nessuno,,0,,G25,Volo Costa 2019 AdbPo,263.35392026,81.1288541801
9,2020.0,633.0,0.0,Argine interno,emersa,SABBIA E TERRA RINFORZATA,5.0,RAVENNA,NO-SE,ARGINE IN SABBIA E TERRA RINFORZATA,1.98731923,-0.05,3.75999999,2400.0,,,0.0,Linea 2019,1995,,nessuno,,0,,,Volo Costa 2019 AdbPo,13953.2164711,4659.89367451
10,2020.0,634.0,0.0,Argine interno,emersa,SABBIA E TERRA RINFORZATA,5.0,RAVENNA,N-S,ARGINE IN SABBIA E TERRA RINFORZATA,1.85805821,0.94,2.52999997,0.0,,,0.0,Linea 2019,,,nessuno,,0,,,Volo Costa 2019 AdbPo,7821.63060299,2349.17321399
11,2020.0,635.0,0.0,Argine interno,emersa,SABBIA E TERRA RINFORZATA,5.0,RAVENNA,N-S,ARGINE IN SABBIA E TERRA RINFORZATA,2.00089836,0.60000002,3.32999992,0.0,,,0.0,Linea 2019,,,nessuno,,0,,,Volo Costa 2019 AdbPo,10537.4456469,2313.23929281
12,2020.0,636.0,0.0,Argine interno,emersa,SABBIA E TERRA RINFORZATA,5.0,RAVENNA,N-S,ARGINE IN SABBIA E TERRA RINFORZATA,1.94646263,0.86000001,3.1099999,0.0,,,0.0,Linea 2019,,,nessuno,,0,,,Volo Costa 2019 AdbPo,3387.5745287,972.084141937
13,2020.0,507.0,0.0,Difesa longitudinale distaccata soffolta,soffolta,MASSI CALCAREI,1.0,CATTOLICA,NE-SO,SOGLIA SOFFOLTA A PROTEZIONE DEL VARCHO TRA LE SCOGLIERE EMERSE,-1.6243,-3.00999999,0.139,15.0,,,110.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,228.827285105,71.9261825418
14,2020.0,508.0,0.0,Difesa longitudinale distaccata soffolta,soffolta,MASSI CALCAREI,1.0,CATTOLICA,NE-SO,SOGLIA SOFFOLTA A PROTEZIONE DEL VARCHO TRA LE SCOGLIERE EMERSE,-1.60899997,-2.20000005,0.30599999,20.0,,,100.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,185.92607508,68.0018646965
15,2020.0,293.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,-0.46452793,-1.19670117,0.20897093,100.0,,80,130.0,Linea 2019,1966-1971,ERSA,nessuno,,0,,G33,Volo Costa 2019 AdbPo,727.52924603,211.984208203
16,2020.0,308.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.00794246,-1.00900578,0.7059176,90.0,,50,165.0,Linea 2019,1966-1971,ERSA,nessuno,,0,,G33,Volo Costa 2019 AdbPo,745.311380035,195.619682777
17,2020.0,309.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.12984826,-0.55792332,0.61788434,90.0,,60,165.0,Linea 2019,1966-1971,ERSA,nessuno,,0,,G33,Volo Costa 2019 AdbPo,580.38196567,182.860282933
18,2020.0,310.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.15120117,-0.5312317,0.75424933,100.0,,50,165.0,Linea 2019,1966-1971,ERSA,nessuno,,0,,G33,Volo Costa 2019 AdbPo,681.17683883,198.93897591
19,2020.0,311.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,-0.0631502,-1.09075201,0.47193301,90.0,,40,150.0,Linea 2019,1966-1971,ERSA,nessuno,,0,,G33,Volo Costa 2019 AdbPo,589.053226095,185.879852144
20,2020.0,312.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.02711472,-1.66301453,0.68993342,90.0,,60,165.0,Linea 2019,1966-1971,ERSA,nessuno,,0,,G33,Volo Costa 2019 AdbPo,588.571243305,183.377859648
21,2020.0,313.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.06264184,-1.0181309,0.63672376,90.0,,60,170.0,Linea 2019,1966-1971,ERSA,nessuno,,0,,G33,Volo Costa 2019 AdbPo,618.74470575,186.665414617
22,2020.0,314.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.24009089,-0.57126701,0.72105014,90.0,,45,160.0,Linea 2019,1966-1971,ERSA,nessuno,,0,,G33,Volo Costa 2019 AdbPo,690.77204156,193.373296875
23,2020.0,315.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.08252504,-1.18756354,0.59297645,90.0,,45,150.0,Linea 2019,1966-1971,CONS.DI BONIFICA II°CIRC,nessuno,,0,,G33,Volo Costa 2019 AdbPo,654.343394455,195.668500711
24,2020.0,316.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.1104646,-0.48528612,0.50105739,90.0,,45,150.0,Linea 2019,1966-1971,CONS.DI BONIFICA II°CIRC,nessuno,,0,,G33,Volo Costa 2019 AdbPo,569.047559615,184.020395535
25,2020.0,317.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.07538423,-0.85323006,0.55072689,90.0,,45,150.0,Linea 2019,1966-1971,CONS.DI BONIFICA II°CIRC,nessuno,,0,,G33,Volo Costa 2019 AdbPo,742.217889615,197.665826648
26,2020.0,318.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.15433361,-1.26323688,0.69815916,90.0,,45,160.0,Linea 2019,1966-1971,CONS.DI BONIFICA II°CIRC,nessuno,,0,,G33,Volo Costa 2019 AdbPo,766.47516074,193.057234624
27,2020.0,319.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.19613373,-0.58126283,0.80634874,90.0,,40,140.0,Linea 2019,1966-1971,CONS.DI BONIFICA II°CIRC,nessuno,,0,,G33,Volo Costa 2019 AdbPo,642.67726066,187.223719452
28,2020.0,320.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,6.0,COMACCHIO,NNE-SSO,,0.06778301,-1.13132405,0.64043927,90.0,,50,170.0,Linea 2019,1966-1971,CONS.DI BONIFICA II°CIRC,nessuno,,0,,G33,Volo Costa 2019 AdbPo,637.32808011,179.593363543
29,2020.0,142.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,2.0,CESENATICO,,ATOLLO,-0.667,-3.93000007,1.02400005,15.0,,25,340.0,Linea 2019,1982,STATO-OPERE MARITTIME,nessuno,,0,,G18,Volo Costa 2019 AdbPo,170.706974525,46.3421042268
30,2020.0,143.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,2.0,CESENATICO,NO-SE,SCOGLIERA,-0.36767566,-3.50999999,1.44599998,90.0,18-20,30,350.0,Linea 2019,1983,STATO-OPERE MARITTIME,nessuno,,0,,G18,Volo Costa 2019 AdbPo,902.79816695,201.008218762
31,2020.0,14.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,1.0,CATTOLICA,NO-SE,,0.42798039,-0.119,1.86899996,110.0,,10,95.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,1231.5943129,236.637606789
32,2020.0,15.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,1.0,CATTOLICA,NO-SE,,0.51293021,-2.48000002,1.46099997,110.0,,10,85.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,1112.3531391,250.102439984
33,2020.0,16.0,0.0,Difesa trasversale,emersa,MASSI CALCAREI,1.0,CATTOLICA,NE-SO,,0.36288571,-2.96000004,1.296,90.0,,-,0.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,860.63624627,206.891201736
34,2020.0,17.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,1.0,CATTOLICA,NO-SE,,0.38319999,-1.15999997,1.40600002,35.0,,10,100.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,262.961452605,81.6550284956
35,2020.0,18.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,1.0,CATTOLICA,NO-SE,,0.05013333,-3.31999993,1.44700003,40.0,,10,100.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,356.599916345,90.5227012942
36,2020.0,19.0,0.0,Area portuale,emersa,CALCESTRUZZO,1.0,CATTOLICA,NE-SO,,2.37156129,0.235,3.37199998,100.0,,-,0.0,Linea 2019,,,nessuno,,0,,,Volo Costa 2019 AdbPo,4260.86364458,914.536672878
37,2020.0,20.0,0.0,Difesa trasversale,emersa,MASSI CALCAREI,1.0,CATTOLICA,NE-SO,PROTEZIONE MOLO,1.57850003,0.54000002,2.079,45.0,,-,0.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,270.14926936,98.2093478968
38,2020.0,21.0,0.0,Difesa trasversale,emersa,MASSI CALCAREI,1.0,CATTOLICA,NE-SO,PROTEZIONE MOLO,1.39550006,0.73900002,2.09800005,50.0,,-,0.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,277.05483717,108.754170669
39,2020.0,22.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,1.0,CATTOLICA,NO-SE,,0.56047827,-1.0,1.75699997,60.0,,10,100.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,575.65798738,138.012873395
40,2020.0,23.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,1.0,CATTOLICA,NO-SE,,0.65170592,-2.43000007,1.67900002,50.0,,10,100.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,404.958713155,106.872067887
41,2020.0,24.0,0.0,Difesa longitudinale distaccata,emersa,MASSI CALCAREI,1.0,CATTOLICA,NO-SE,,0.55848145,-2.78999996,1.90999997,80.0,,-,100.0,Linea 2019,,,nessuno,,0,,G2,Volo Costa 2019 AdbPo,641.821820925,181.82259537
42,2020.0,544.0,0.0,Area portuale,emersa,CALCESTRUZZO,7.0,GORO,,,1.08323336,-0.04271431,2.60800004,0.0,,,0.0,Linea 2019,,,nessuno,,0,,,Volo Costa 2019 AdbPo,3085.06055487,522.777190216
