intervention,location,label,amount_fin,has_agreement,agreement_label,agreement_date,instability_type,location_label,region,province,lat,long
http://dati.isprambiente.it/id/ihi/intervention/05ir028/g9,http://dati.isprambiente.it/id/place/24051,Lavori urgenti di ripresa consolidamento difese sponda in destra e sinistra idraulica canale Bisatto,500000.00,http://dati.isprambiente.it/id/ihi/agreement/05ir028/g9,Del CIPE 35 Piano Nazionale 24/07/2019,2019-07-24,Alluvione,Longare,veneto,vicenza,45.4716851232905,11.6050253692924
http://dati.isprambiente.it/id/ihi/intervention/17ir427/g1,http://dati.isprambiente.it/id/place/76023,RIDUZIONE DEL RISCHIO IDROGEOLOGICO VIA GIARDINI,500833.56,http://dati.isprambiente.it/id/ihi/agreement/17ir427/g1,DPCM 02/12/2019 Piano op. dissesto 2019,2019-12-02,Frana,Castelluccio Superiore,basilicata,potenza,40.0205990286298,15.9441951013629
http://dati.isprambiente.it/id/ihi/intervention/09ir501/g1,http://dati.isprambiente.it/id/place/48006,Interventi urgenti sul T. Marina lotto 2 stralci 3 e 4,1103784.10,http://dati.isprambiente.it/id/ihi/agreement/09ir501/g1,Piano 2021 Toscana DM 534 15/12/2021,2021-12-15,Alluvione,Campi Bisenzio,toscana,firenze,43.8225069765017,11.1413652429887
http://dati.isprambiente.it/id/ihi/intervention/585/99,http://dati.isprambiente.it/id/place/78145,"Canalette, inerbimenti e rimboschimenti, reticoli di micropali.",516456.90,http://dati.isprambiente.it/id/ihi/agreement/585/99,DPCM 28/07/2000 (DSTN/2/15383),2000-07-28,Frana,Tarsia,calabria,cosenza,39.6348027377281,16.2776661676767
http://dati.isprambiente.it/id/ihi/intervention/20ir063/g1,http://dati.isprambiente.it/id/place/95019,Mitigazione del rischio idrogeologico nell'abitato di Cuglieri,1000000.00,http://dati.isprambiente.it/id/ihi/agreement/20ir063/g1,DD 353/CLE 16/12/2015 - Sardegna,2015-12-16,Frana,Cuglieri,sardegna,oristano,40.1498209552679,8.52957459933685
http://dati.isprambiente.it/id/ihi/intervention/15ir886/g1,http://dati.isprambiente.it/id/place/62037,Riduzione rischio idraulico-idrogeologico e geomorfologico con miglioramento ambientale e forestale,262850.44,http://dati.isprambiente.it/id/ihi/agreement/15ir886/g1,Fondo_Prog_Campania_09/08/2018,2018-08-09,Frana,Guardia Sanframondi,campania,benevento,41.2452838511476,14.5901207531977
http://dati.isprambiente.it/id/ihi/intervention/05ir017/g9,http://dati.isprambiente.it/id/place/29035,Realizzazione di un 2° stralcio di diaframma plastico dalla sommità arginale destra del fiume Adige,1300000.00,http://dati.isprambiente.it/id/ihi/agreement/05ir017/g9,Del CIPE 35 Piano Nazionale 24/07/2019,2019-07-24,Alluvione,Pettorazza Grimani,veneto,rovigo,45.119358857367,11.9981068219417
http://dati.isprambiente.it/id/ihi/intervention/ss001a/10,http://dati.isprambiente.it/id/place/90043,Frana linea ferroviaria Sassari - Chilivani località a valle del rio Mascari - 1° LOTTO (Interventi di sistemazione del versante finalizzati alla messa in sicurezza della linea ferroviaria Sassari-Chilivani),674925.73,http://dati.isprambiente.it/id/ihi/agreement/ss001a/10,AP Sardegna 23/12/2010,2010-12-23,Frana,Muros,sardegna,sassari,40.6914013413492,8.61988313816562
http://dati.isprambiente.it/id/ihi/intervention/413/99,http://dati.isprambiente.it/id/place/56026,CONSOLIDAMENTO ABITATO,309874.14,http://dati.isprambiente.it/id/ihi/agreement/413/99,DPCM 21/12/1999 (DSTN/2/27774),1999-12-21,Frana,Farnese,lazio,viterbo,42.5708751180902,11.7187215423978
http://dati.isprambiente.it/id/ihi/intervention/dait@21_2426/xm,http://dati.isprambiente.it/id/place/71023,ZONA CIMITERO COMUNALE*VIA CIMITERO*INTERVENTO DI MITIGAZIONE DEL RISCHIO IDROGEOLOGICO TESA AL COMPLETAMENTO E MESSA IN SICUREZZA DEL CIMITERO DEL COMUNE DI FAETO,500000.00,http://dati.isprambiente.it/id/ihi/agreement/dait@21_2426/xm,Decreto_Min_int_DAIT_23.02.2021,2021-02-23,Frana,Faeto,puglia,foggia,41.3077060914461,15.1479423003491
